tenth_percent,twelfth_percent,degree,cgpa,internships,projects,backlogs,communication_skill,extra_curricular,interest,placed,package_lpa
73.84,64.86,MCA,6.87,2,1,0,3,1,Data Science,0,0.0
71.99,75.05,M.Tech,7.71,1,4,0,8,1,Core/Mechanical,1,7.42
60.21,61.54,B.Sc,5.24,1,1,1,7,1,Web Development,0,0.0
67.8,71.74,B.Tech,7.32,2,2,1,5,1,Testing,0,0.0
70.39,72.7,B.Tech,7.0,1,3,2,4,0,Networking,0,0.0
85.57,100.0,B.Tech,10.0,1,0,0,7,1,Networking,1,10.57
78.44,73.34,M.Tech,8.54,1,1,0,9,1,Machine Learning,1,8.72
57.37,53.12,B.Sc,7.6,1,1,0,6,1,Core/Mechanical,0,0.0
78.24,73.25,B.Tech,8.04,1,1,1,5,0,Testing,0,0.0
71.15,66.71,B.Sc,7.15,1,3,2,7,1,Testing,0,0.0
68.23,63.13,M.Tech,6.72,0,1,1,10,1,Networking,0,0.0
81.12,90.63,B.Tech,8.3,1,2,0,7,1,Machine Learning,1,8.54
85.31,96.67,M.Tech,9.37,2,3,0,7,0,Networking,1,9.18
84.31,79.74,M.Tech,7.97,1,1,0,9,1,Machine Learning,1,6.72
66.61,59.95,MCA,6.46,1,2,1,7,1,Data Science,0,0.0
71.91,75.68,B.Tech,8.43,0,3,0,5,1,Testing,0,0.0
78.31,73.89,B.Tech,6.8,0,1,1,3,1,Data Science,0,0.0
84.76,89.82,B.Tech,9.64,0,2,0,5,1,Networking,1,10.47
70.21,71.83,B.Tech,8.16,0,3,1,5,0,Core/Mechanical,0,0.0
73.14,61.01,B.Tech,6.61,3,2,0,8,1,Web Development,1,7.75
63.94,76.32,BCA,5.32,0,0,0,8,0,Core/Mechanical,0,0.0
63.04,77.41,B.Sc,6.54,0,3,0,7,1,Core/Mechanical,0,0.0
83.13,78.23,M.Tech,9.11,0,2,1,4,0,Web Development,1,9.25
88.56,85.46,B.Tech,8.68,0,2,1,10,0,Testing,0,0.0
74.28,76.57,BCA,6.74,1,0,0,6,1,Data Science,0,0.0
85.04,87.72,BCA,8.23,1,1,2,8,1,Data Science,1,7.25
78.62,83.89,BCA,8.8,2,0,0,7,1,Testing,1,10.29
68.55,84.63,M.Tech,8.1,2,1,0,7,1,Web Development,1,9.18
78.61,77.19,BCA,7.6,1,1,0,8,1,Machine Learning,1,8.39
90.38,83.99,MCA,8.43,2,2,1,5,0,Core/Mechanical,1,10.65
74.64,63.61,B.Tech,6.6,1,3,0,9,0,Networking,1,6.09
90.65,84.8,B.Sc,8.03,1,3,1,4,0,Data Science,1,6.92
48.8,48.53,B.Tech,6.16,4,2,0,5,0,Testing,0,0.0
83.22,97.58,B.Tech,8.78,1,2,0,9,0,Networking,1,8.83
75.87,71.73,B.Tech,8.35,0,4,0,8,1,Web Development,1,7.66
72.01,73.8,B.Tech,8.51,1,1,0,10,1,Networking,1,11.07
75.92,75.79,B.Tech,8.38,1,3,0,7,0,Networking,1,8.22
55.12,64.63,B.Tech,5.64,0,3,0,10,0,Core/Mechanical,0,0.0
72.8,93.02,B.Tech,8.61,0,4,0,3,1,Web Development,1,8.29
78.57,74.32,MCA,7.63,0,2,1,4,0,Networking,0,0.0
89.78,85.86,B.Tech,8.06,2,4,0,8,0,Data Science,1,8.11
69.82,78.17,BCA,7.66,0,3,3,3,1,Web Development,0,0.0
66.92,72.38,B.Tech,6.02,0,2,0,6,1,Data Science,0,0.0
69.98,84.75,MCA,8.69,0,3,0,9,0,Testing,1,9.27
84.15,88.82,M.Tech,8.28,0,2,0,7,1,Testing,0,0.0
78.29,75.42,BCA,7.85,1,2,1,7,0,Machine Learning,0,0.0
69.7,74.43,BCA,7.43,1,4,0,6,1,Testing,0,0.0
80.13,89.0,B.Tech,8.25,0,4,0,7,0,Networking,0,0.0
75.97,82.53,MCA,8.39,1,1,0,8,0,Web Development,1,6.84
84.69,88.75,M.Tech,8.29,0,1,1,5,1,Testing,1,8.77
67.98,76.51,M.Tech,7.92,0,0,0,7,0,Data Science,0,0.0
71.72,81.07,BCA,6.56,1,3,0,8,1,Networking,0,0.0
71.08,82.14,B.Tech,7.76,0,1,0,6,0,Testing,0,0.0
60.36,65.55,M.Tech,7.85,2,6,0,7,0,Core/Mechanical,1,7.89
77.96,76.62,B.Tech,6.93,1,1,0,7,0,Data Science,0,0.0
77.61,78.78,B.Sc,7.28,2,1,0,7,0,Data Science,1,9.5
75.05,84.7,B.Tech,8.4,0,3,1,8,1,Machine Learning,1,7.66
72.65,66.11,MCA,7.08,1,3,2,5,0,Core/Mechanical,0,0.0
60.85,63.8,B.Tech,6.51,2,0,0,6,1,Machine Learning,0,0.0
70.79,67.64,B.Tech,7.31,0,2,0,6,1,Testing,0,0.0
71.57,71.8,B.Sc,7.68,1,1,3,5,1,Core/Mechanical,0,0.0
66.98,77.21,BCA,8.1,1,3,1,3,0,Data Science,0,0.0
73.39,74.92,BCA,7.74,1,1,0,1,1,Machine Learning,0,0.0
79.04,79.41,B.Tech,7.73,2,3,0,9,0,Networking,1,8.64
93.86,82.98,B.Tech,9.38,1,5,0,4,0,Core/Mechanical,1,8.68
76.75,82.72,BCA,9.49,0,0,0,9,0,Data Science,0,0.0
77.58,82.74,MCA,7.91,1,1,0,8,0,Web Development,1,7.59
74.26,91.57,M.Tech,7.51,1,2,0,6,0,Core/Mechanical,1,8.31
55.81,53.35,B.Sc,6.34,2,1,0,8,1,Core/Mechanical,0,0.0
74.73,76.48,MCA,7.46,0,5,1,7,0,Testing,1,7.25
75.6,77.6,B.Tech,5.92,2,1,0,5,0,Networking,0,0.0
99.63,100.0,B.Sc,10.0,3,3,2,6,1,Testing,1,10.42
73.08,72.32,B.Sc,6.84,2,2,0,5,0,Core/Mechanical,0,0.0
78.02,80.25,B.Tech,7.84,3,2,0,8,0,Core/Mechanical,1,9.02
74.65,79.51,BCA,7.97,1,0,0,5,0,Networking,0,0.0
63.31,64.8,B.Sc,6.56,1,2,0,6,1,Networking,0,0.0
86.43,82.86,B.Tech,9.03,0,2,1,6,0,Machine Learning,1,9.15
82.52,84.07,B.Tech,7.98,2,4,2,7,0,Data Science,1,7.33
82.91,91.5,B.Tech,9.13,1,0,0,9,0,Data Science,1,8.84
65.91,57.7,B.Sc,5.97,1,3,1,6,1,Machine Learning,0,0.0
89.03,90.09,B.Tech,9.55,1,3,0,9,1,Data Science,1,8.93
60.98,55.38,B.Tech,6.31,2,3,0,7,1,Core/Mechanical,1,8.49
80.87,90.43,BCA,7.82,0,2,0,9,0,Machine Learning,1,7.53
96.9,84.71,BCA,9.95,0,0,1,6,0,Machine Learning,1,8.75
65.09,60.62,BCA,5.86,1,2,0,8,0,Data Science,0,0.0
69.34,72.36,B.Sc,7.73,0,2,0,6,0,Web Development,0,0.0
76.0,88.52,M.Tech,8.52,1,1,0,1,0,Data Science,0,0.0
69.97,69.44,MCA,8.44,3,0,0,5,0,Testing,1,10.26
59.49,55.05,M.Tech,5.55,0,0,1,8,0,Web Development,0,0.0
75.69,90.74,BCA,8.04,1,1,0,7,1,Machine Learning,1,8.49
64.38,52.8,B.Tech,5.84,0,0,0,4,0,Web Development,0,0.0
79.74,62.15,MCA,6.85,3,2,0,7,1,Core/Mechanical,1,9.47
65.81,69.33,B.Tech,7.4,3,1,0,7,0,Networking,1,10.29
90.5,86.48,B.Tech,7.56,2,3,0,6,0,Web Development,1,11.0
67.17,59.0,B.Tech,5.47,2,1,1,8,0,Testing,0,0.0
71.78,77.45,B.Tech,6.61,0,1,0,8,0,Networking,0,0.0
83.14,85.09,MCA,9.17,0,6,0,6,0,Core/Mechanical,1,8.69
62.69,58.18,B.Sc,7.41,4,3,1,6,0,Testing,0,0.0
77.27,67.03,B.Sc,7.13,3,1,0,8,1,Networking,1,8.37
88.07,95.05,BCA,9.02,0,1,1,7,1,Core/Mechanical,0,0.0
58.93,64.13,B.Sc,6.21,2,4,0,4,0,Networking,0,0.0
76.85,76.06,B.Tech,8.58,0,3,0,7,1,Networking,1,6.56
77.6,92.37,BCA,7.76,0,0,0,4,1,Data Science,0,0.0
82.82,74.26,BCA,8.04,0,0,0,5,1,Testing,0,0.0
62.63,50.43,B.Tech,6.43,0,3,0,5,1,Testing,0,0.0
61.8,56.26,BCA,6.3,2,3,0,7,0,Web Development,0,0.0
80.22,79.86,B.Tech,8.16,0,4,0,7,0,Testing,1,9.55
77.97,79.92,B.Tech,8.7,0,2,0,6,0,Testing,1,9.2
77.5,75.57,B.Tech,5.49,1,1,2,6,0,Networking,0,0.0
78.46,81.28,B.Tech,8.53,3,4,0,6,0,Machine Learning,1,7.18
68.2,58.19,M.Tech,5.8,1,2,0,8,1,Data Science,0,0.0
77.32,88.87,M.Tech,6.84,2,1,0,1,1,Web Development,0,0.0
77.93,77.27,B.Tech,8.17,0,2,0,6,1,Data Science,1,8.66
67.86,76.8,B.Sc,8.33,0,2,1,9,1,Web Development,1,8.76
93.66,96.4,BCA,9.39,1,2,0,7,1,Core/Mechanical,1,8.67
79.74,83.39,B.Tech,8.92,1,1,0,9,1,Networking,1,8.62
63.09,67.65,B.Tech,7.83,3,0,0,3,0,Testing,0,0.0
81.57,85.15,MCA,9.39,0,3,0,4,0,Testing,1,8.42
65.25,70.39,BCA,8.09,0,4,0,7,0,Machine Learning,1,8.02
82.87,93.5,MCA,9.41,1,6,0,9,1,Data Science,1,9.12
86.59,88.16,B.Tech,8.8,1,4,1,4,0,Data Science,1,7.11
66.79,72.46,BCA,5.68,0,2,2,6,1,Data Science,0,0.0
84.63,83.91,B.Tech,8.23,0,1,1,7,0,Testing,1,7.92
79.13,90.65,B.Tech,7.81,1,4,1,4,0,Data Science,1,9.18
83.22,77.81,B.Sc,9.79,1,2,0,7,1,Networking,1,8.54
93.97,100.0,B.Tech,9.56,1,3,0,2,0,Web Development,1,9.44
72.55,72.23,B.Tech,7.34,2,2,0,7,0,Testing,0,0.0
67.46,56.01,B.Tech,6.61,4,3,1,5,0,Networking,0,0.0
66.1,67.12,B.Tech,6.7,1,0,0,6,0,Core/Mechanical,0,0.0
66.84,61.39,BCA,7.77,0,2,0,8,1,Networking,1,8.67
74.23,80.96,B.Sc,7.26,1,2,1,7,0,Networking,0,0.0
78.41,73.19,B.Tech,7.74,4,2,0,6,1,Core/Mechanical,0,0.0
77.77,74.2,B.Tech,7.0,0,3,0,8,0,Networking,1,7.24
83.27,68.15,B.Tech,6.51,1,2,1,3,1,Web Development,0,0.0
75.13,71.51,BCA,6.84,0,2,0,7,0,Testing,0,0.0
89.54,70.15,B.Tech,7.95,1,3,0,5,1,Machine Learning,0,0.0
72.35,59.68,BCA,6.26,1,5,1,8,1,Core/Mechanical,1,6.14
100.0,100.0,B.Tech,9.45,1,3,0,8,0,Testing,1,10.52
81.26,87.55,B.Tech,7.32,0,0,0,8,1,Data Science,1,8.52
66.43,69.83,M.Tech,6.75,3,2,2,9,1,Web Development,1,7.41
64.29,56.55,BCA,5.0,2,3,0,9,0,Machine Learning,0,0.0
79.82,79.44,B.Tech,8.57,2,2,0,6,0,Web Development,1,7.75
72.77,72.74,M.Tech,7.34,3,3,0,6,1,Web Development,1,8.84
82.14,72.87,B.Sc,6.58,1,2,0,8,1,Data Science,1,7.9
79.73,91.76,M.Tech,8.33,0,0,0,7,0,Machine Learning,0,0.0
74.27,81.29,BCA,7.18,3,2,0,8,0,Web Development,1,9.19
66.53,64.76,BCA,6.82,1,1,1,2,1,Data Science,0,0.0
59.85,60.07,MCA,7.07,5,2,1,10,1,Core/Mechanical,1,10.4
70.53,72.2,B.Tech,5.64,0,2,0,7,1,Data Science,0,0.0
83.56,67.23,BCA,7.63,1,4,0,4,0,Networking,1,6.85
77.14,75.16,B.Sc,7.49,1,0,0,5,1,Testing,0,0.0
62.54,57.08,B.Tech,6.52,1,2,0,3,0,Data Science,0,0.0
76.73,68.72,B.Tech,7.44,2,0,1,5,0,Data Science,0,0.0
78.85,76.6,B.Tech,7.17,1,0,0,6,1,Data Science,0,0.0
66.16,80.54,BCA,7.08,0,1,0,9,1,Web Development,0,0.0
76.54,81.67,B.Sc,7.27,2,2,0,7,0,Machine Learning,1,7.43
75.58,71.01,B.Sc,8.19,1,0,0,7,0,Data Science,0,0.0
63.57,68.15,B.Tech,6.6,2,1,0,4,1,Data Science,0,0.0
78.58,89.77,B.Sc,9.94,0,4,3,5,0,Networking,0,0.0
80.61,88.01,MCA,8.38,2,3,1,5,1,Networking,1,11.09
85.83,86.31,B.Tech,8.04,4,4,0,5,1,Core/Mechanical,1,9.42
85.54,80.36,BCA,7.08,1,2,0,6,0,Core/Mechanical,1,8.11
61.22,66.81,BCA,5.0,1,2,1,6,1,Networking,0,0.0
65.62,68.77,BCA,5.45,2,2,0,6,1,Machine Learning,0,0.0
80.15,87.31,B.Sc,8.59,1,1,0,5,1,Core/Mechanical,1,8.22
80.14,85.22,M.Tech,8.67,0,1,0,7,1,Testing,1,8.83
80.15,88.55,B.Tech,7.17,1,1,0,6,1,Testing,1,8.23
100.0,95.72,M.Tech,10.0,3,1,1,4,0,Machine Learning,1,8.51
80.71,91.25,B.Tech,8.21,0,3,0,7,0,Networking,1,8.52
86.36,87.94,B.Tech,8.83,2,2,0,6,1,Core/Mechanical,1,8.75
84.54,100.0,B.Tech,10.0,1,2,0,4,0,Data Science,1,8.98
81.51,76.0,BCA,8.59,2,2,0,5,0,Networking,1,9.56
71.85,85.74,B.Tech,7.66,3,0,0,8,1,Core/Mechanical,1,10.62
82.59,84.17,B.Tech,7.63,1,1,0,4,1,Machine Learning,0,0.0
67.27,62.06,B.Tech,5.0,1,4,0,4,0,Testing,0,0.0
72.63,68.76,MCA,6.49,4,2,0,6,1,Machine Learning,1,7.45
70.15,67.59,M.Tech,6.72,1,4,0,8,1,Core/Mechanical,0,0.0
75.82,79.21,B.Sc,6.96,0,4,0,10,0,Machine Learning,1,6.63
98.15,100.0,BCA,9.8,0,2,0,8,1,Core/Mechanical,1,9.16
56.33,51.74,B.Sc,5.46,1,1,1,8,0,Core/Mechanical,0,0.0
81.86,81.67,B.Tech,8.0,0,3,1,7,0,Machine Learning,0,0.0
58.87,76.01,MCA,6.22,0,3,0,5,0,Web Development,0,0.0
70.28,84.1,B.Tech,7.85,0,1,1,8,0,Data Science,1,6.07
85.89,89.38,B.Tech,9.12,3,1,0,6,0,Networking,1,8.67
75.64,75.94,B.Tech,6.71,0,4,0,7,1,Testing,1,7.51
64.22,65.18,B.Sc,7.6,1,1,0,5,1,Data Science,0,0.0
67.85,72.76,B.Sc,6.95,0,4,1,7,1,Networking,0,0.0
81.8,73.62,B.Sc,7.79,0,0,0,6,1,Networking,0,0.0
67.7,65.64,B.Tech,7.23,0,3,0,7,0,Testing,0,0.0
77.16,63.81,B.Sc,7.24,0,3,0,6,0,Data Science,1,7.98
75.46,78.65,B.Tech,8.47,1,3,1,6,1,Testing,1,8.61
68.48,73.66,B.Tech,7.34,0,2,0,7,0,Core/Mechanical,0,0.0
96.44,92.57,B.Tech,8.96,0,1,0,6,0,Testing,1,5.36
81.34,93.93,BCA,9.05,1,0,1,4,1,Machine Learning,0,0.0
54.75,44.94,B.Tech,5.0,1,2,0,3,0,Web Development,0,0.0
76.86,65.15,BCA,7.19,0,2,0,7,1,Web Development,1,6.56
68.38,70.18,BCA,6.9,0,2,0,6,0,Web Development,0,0.0
83.52,91.9,BCA,8.6,1,3,0,3,0,Data Science,1,8.6
67.07,80.54,B.Sc,7.28,2,3,1,7,0,Data Science,1,9.23
73.85,70.18,B.Tech,5.7,1,1,0,6,1,Core/Mechanical,0,0.0
80.05,88.68,B.Tech,8.0,0,2,0,6,0,Web Development,1,7.97
83.66,83.35,BCA,8.42,1,1,0,7,0,Core/Mechanical,1,9.02
63.0,61.62,B.Sc,6.36,1,2,0,9,1,Web Development,1,7.45
71.65,78.72,M.Tech,6.7,1,0,1,9,1,Data Science,0,0.0
70.25,75.47,M.Tech,8.3,1,1,0,7,0,Machine Learning,0,0.0
68.47,55.86,B.Tech,5.52,1,1,0,6,0,Machine Learning,0,0.0
92.65,100.0,B.Tech,10.0,2,2,0,7,0,Machine Learning,1,10.12
79.05,90.09,BCA,8.8,2,1,0,7,1,Testing,1,8.07
62.39,57.39,B.Tech,5.47,4,1,1,6,1,Machine Learning,0,0.0
84.18,87.35,B.Tech,10.0,0,2,1,7,0,Networking,1,8.16
96.22,100.0,M.Tech,8.86,2,4,0,4,1,Web Development,1,6.84
85.32,87.41,B.Tech,9.37,2,0,0,7,0,Machine Learning,1,10.4
59.81,55.41,MCA,6.56,2,1,0,7,0,Networking,0,0.0
70.16,64.79,BCA,6.21,2,4,0,6,0,Networking,1,8.08
87.67,87.47,BCA,9.87,0,2,0,6,0,Networking,1,10.35
67.92,77.3,B.Tech,7.06,1,1,0,4,0,Core/Mechanical,0,0.0
79.44,83.79,B.Tech,8.39,1,1,0,4,0,Core/Mechanical,1,8.7
82.75,79.79,B.Sc,8.34,1,3,0,7,1,Networking,1,8.46
65.73,71.9,B.Tech,6.77,0,1,0,5,0,Testing,0,0.0
74.4,51.61,B.Tech,6.95,1,3,0,3,1,Machine Learning,0,0.0
42.59,51.78,B.Tech,5.35,1,3,0,4,0,Web Development,0,0.0
64.76,50.84,B.Tech,5.0,1,2,0,5,0,Testing,0,0.0
72.47,69.57,B.Tech,8.15,0,2,1,8,0,Data Science,0,0.0
62.52,53.56,BCA,5.0,0,4,0,7,0,Core/Mechanical,0,0.0
91.32,80.96,B.Tech,9.44,0,1,0,5,0,Machine Learning,0,0.0
60.7,69.99,B.Tech,7.44,1,1,0,5,0,Machine Learning,0,0.0
70.6,66.86,BCA,6.0,3,2,0,9,0,Data Science,0,0.0
76.31,79.08,MCA,7.44,1,1,0,8,0,Data Science,1,8.36
89.41,89.03,B.Tech,8.04,1,3,0,4,1,Machine Learning,1,8.3
60.64,64.46,B.Tech,6.08,3,3,0,9,1,Data Science,1,8.76
86.63,87.24,B.Sc,8.45,1,4,0,6,0,Machine Learning,1,7.56
75.1,64.84,MCA,7.62,0,1,1,8,0,Testing,0,0.0
65.18,73.15,BCA,7.96,1,1,0,6,0,Data Science,0,0.0
79.62,75.67,BCA,8.88,0,1,0,9,1,Testing,1,7.82
76.99,64.54,B.Tech,6.63,0,1,0,4,0,Testing,0,0.0
69.0,65.58,B.Sc,6.56,3,2,0,6,0,Data Science,1,8.65
75.7,87.71,B.Tech,6.82,0,0,0,9,0,Machine Learning,1,6.65
71.15,77.95,BCA,6.81,1,1,0,2,1,Networking,0,0.0
76.14,73.35,BCA,8.25,0,2,0,6,0,Machine Learning,0,0.0
81.62,78.83,MCA,9.31,2,4,2,6,1,Web Development,1,9.37
90.86,88.29,B.Tech,7.97,0,0,0,8,0,Data Science,1,8.51
62.62,79.23,B.Tech,6.62,0,0,0,8,1,Core/Mechanical,0,0.0
96.33,99.39,B.Sc,9.76,0,1,0,8,1,Data Science,1,8.28
55.48,58.92,BCA,5.94,2,1,0,7,0,Web Development,0,0.0
73.48,81.72,BCA,7.11,1,4,0,7,1,Testing,1,7.34
80.88,82.79,B.Tech,8.52,1,2,1,6,0,Core/Mechanical,1,8.07
77.81,75.74,B.Tech,7.3,3,2,0,7,1,Core/Mechanical,1,6.39
68.77,67.2,B.Sc,6.79,1,2,0,9,1,Machine Learning,1,6.53
72.92,72.35,B.Tech,7.7,0,5,1,5,0,Networking,0,0.0
70.07,69.77,M.Tech,7.0,0,3,0,6,1,Machine Learning,0,0.0
69.11,74.93,B.Sc,6.85,1,4,0,6,0,Core/Mechanical,0,0.0
83.5,83.92,BCA,8.28,2,3,1,8,0,Core/Mechanical,1,9.95
78.57,84.43,B.Sc,8.08,1,0,1,7,0,Networking,0,0.0
68.07,67.42,BCA,6.48,0,3,0,8,1,Data Science,0,0.0
84.0,84.63,B.Tech,8.22,1,2,0,8,0,Networking,1,8.59
78.07,62.08,M.Tech,8.29,1,3,0,8,0,Testing,1,7.37
83.13,90.46,B.Tech,9.13,0,3,0,5,1,Machine Learning,1,10.04
81.3,84.07,B.Sc,8.03,1,1,1,9,0,Data Science,1,9.12
66.71,74.69,B.Tech,7.63,0,1,0,9,0,Machine Learning,1,6.41
69.4,46.23,B.Sc,5.51,1,4,0,7,0,Networking,0,0.0
82.47,99.18,B.Tech,10.0,1,0,0,4,0,Data Science,1,10.72
81.1,79.98,B.Tech,8.35,0,2,0,4,0,Networking,0,0.0
74.79,83.66,MCA,7.84,1,3,0,7,0,Testing,1,7.04
76.17,67.85,B.Tech,7.56,1,1,1,5,1,Web Development,0,0.0
87.78,92.68,BCA,7.77,0,0,1,3,1,Core/Mechanical,0,0.0
69.08,60.65,MCA,5.59,1,3,1,4,0,Data Science,0,0.0
80.47,75.48,B.Tech,6.84,3,2,0,6,0,Core/Mechanical,1,8.2
72.98,88.29,BCA,8.18,0,1,0,7,0,Web Development,1,8.41
72.82,71.29,B.Tech,8.59,0,2,0,9,1,Data Science,1,8.24
85.99,87.73,B.Tech,10.0,3,1,1,7,0,Core/Mechanical,1,10.35
83.25,90.21,B.Tech,9.18,1,0,0,6,0,Core/Mechanical,1,8.52
83.14,87.11,MCA,8.91,3,2,1,7,1,Data Science,1,8.54
88.05,89.25,B.Tech,7.42,2,0,0,7,0,Core/Mechanical,1,9.04
75.21,78.13,B.Sc,7.23,4,3,0,8,0,Core/Mechanical,1,9.91
81.82,100.0,B.Sc,8.46,0,2,1,6,1,Data Science,1,7.46
71.9,71.44,M.Tech,6.67,1,4,0,8,1,Core/Mechanical,1,6.4
78.24,79.85,B.Tech,7.77,2,1,0,8,0,Core/Mechanical,1,10.22
73.7,82.11,BCA,7.41,1,0,1,7,1,Machine Learning,0,0.0
75.97,84.81,BCA,6.46,1,0,0,6,0,Testing,0,0.0
80.95,90.45,BCA,9.17,1,4,0,8,1,Machine Learning,1,9.44
66.82,71.93,MCA,6.08,1,0,3,5,0,Web Development,0,0.0
95.92,86.78,M.Tech,9.33,1,5,0,4,1,Machine Learning,1,10.6
64.94,78.01,B.Tech,8.81,2,0,0,4,1,Machine Learning,0,0.0
62.86,53.69,B.Sc,5.09,0,3,1,5,1,Web Development,0,0.0
86.58,89.0,B.Tech,6.75,0,2,0,8,1,Core/Mechanical,1,8.51
82.92,76.89,B.Tech,7.76,1,1,1,6,0,Core/Mechanical,0,0.0
81.24,80.73,B.Sc,8.98,2,1,0,7,0,Machine Learning,1,8.21
81.28,83.91,B.Tech,9.83,0,1,0,6,0,Web Development,0,0.0
74.88,77.45,B.Tech,6.63,1,2,0,6,1,Core/Mechanical,0,0.0
66.03,69.41,MCA,7.17,2,3,1,5,1,Networking,0,0.0
75.76,88.67,B.Tech,7.85,3,2,0,6,0,Data Science,0,0.0
68.23,71.86,MCA,6.92,0,3,0,6,1,Data Science,0,0.0
84.75,82.8,B.Sc,10.0,0,3,0,7,1,Testing,1,9.43
73.53,81.24,BCA,6.54,1,1,0,7,1,Data Science,0,0.0
66.75,76.27,M.Tech,7.35,2,2,0,6,1,Machine Learning,1,8.18
71.79,61.97,B.Tech,7.06,1,2,0,4,0,Data Science,0,0.0
79.13,83.91,B.Tech,9.02,1,2,0,8,0,Data Science,1,8.73
69.36,74.97,B.Tech,7.29,0,4,0,6,0,Networking,0,0.0
66.78,64.4,B.Tech,6.81,0,1,0,7,0,Core/Mechanical,0,0.0
77.44,88.45,MCA,7.98,1,0,1,9,1,Networking,1,7.77
77.45,76.25,M.Tech,7.9,1,1,1,8,1,Machine Learning,1,7.78
69.93,70.93,B.Tech,6.77,2,2,0,7,1,Data Science,1,8.22
70.29,68.91,B.Tech,7.46,1,0,0,6,1,Core/Mechanical,0,0.0
77.32,77.44,B.Tech,7.44,1,1,0,6,0,Testing,1,7.51
60.52,51.75,B.Tech,5.92,0,0,0,7,0,Testing,0,0.0
60.93,49.41,BCA,5.49,0,2,0,7,0,Data Science,0,0.0
67.82,80.58,B.Tech,8.32,2,2,1,10,0,Data Science,1,8.03
72.87,66.09,B.Sc,6.91,4,3,0,10,0,Testing,1,10.01
78.11,70.18,B.Tech,6.0,2,0,1,7,0,Testing,0,0.0
89.75,72.52,B.Tech,9.12,0,5,1,3,0,Machine Learning,1,8.37
83.58,78.47,BCA,7.38,0,5,1,5,0,Data Science,1,6.72
73.4,62.82,B.Sc,6.29,2,1,0,10,1,Testing,1,6.95
74.81,87.95,MCA,7.66,1,4,0,8,0,Web Development,1,8.32
